model,description
focus,"SILVER, CLEAN CAR - O/S REAR DAMAGE, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, TO VIEW OUR FURTHER 500 SIMILAR DAMAGED VEHICLES GO TO www.chaseautos.com, £325"
fiesta,"RED, CLEAN, LOW MILEAGE CAR WITH MINOR N/S DAMAGE, In Car Entertainment. 5 seats, TO VIEW OUR FURTHER 500 SIMILAR DAMAGED VEHICLES GO TO www.chaseautos.com, £275"
500,"WHITE, POWERSTEERING, ELECTRIC WINDOWS, REMOTE CENTRAL LOCKING WITH ALARM, ELECTRIC MIRRORS, HALF BLACK LEATHER INTERIOR, 6 SPEED GEARBOX, AIR CONDITIONING, REMOTE RADIO/STEREO/CD, ALLOY WHEELS, FOGLIGHTS, BOOT SPOILER, PRIVACY GLASS, FULL SERVICE HISTORY, EXCELLENT CONDITION. 4 seats, VISIT www.colerainetradesales.com FOR FULL LISTING, £4,375"
500,"A very reliable small car, cheap to run,cheap to tax and Insure.  Bluetooth connection for audio and handsfree phone, air con, electric windows, electric mirrors, central locking, power steering.  Excellent condition inside and out; Just been valeted recently. Very Low mileage for the year but used regularly. mot till October 2015, has service history NO accident history. £4400, GREY, 2 owners, Next MOT due 30/10/2015, Part service history, MP3 player, CD player, Central locking, Alarm. 4 seats, £4,400"
corsa,"BLUE, Next MOT due 25/10/2015, Good bodywork, Interior - Good Condition, Tyre condition Good, In Car Entertainment. 5 seats, £495 p/x to clear"
500,"YELLOW, 4 seats, Integrated CD Player, Power Steering, Electric Windows & Mirrors, ABS Brakes, Remote Central Locking & Alarm, Front & Side Airbags, Chess Board Effect Roof Stickers. Service History. Lovely Vehicle, £3,995"
fiesta,"SILVER, O/S FRONT DAMAGE, Alarm, Alloy Wheels, Electric Windows, In Car Entertainment. TO VIEW OUR OTHER 500 SIMILAR DAMAGED VEHICLES GO TO www.chaseautos.com, £395"
corsa,"Very Cheap Car Read Full Discription, Long MOT, HPI Clear , Starts Drives and Stops OK , Engine Has Been Changed for one that Has done Aprox 60,000miles , I Am Selling this as Spares Or Repairs the body has a Quite few scratches dings scrapes the worst being R/O/S corner (picture) and rear bumper (There Is a Second hand Bumper to go with the car), I'm sure with some TLC this would be a good car, The Car is sold as seen with any and all its faults No warranty implied or given, I will Not Discuss Price over the phone, without viewing the car, The Vehicle is located North Leeds, Yorkshire, BLACK, 5+ owners, Next MOT due 10/03/2016, Part service history, Electric windows, CD player, Alloy wheels, Spare wheel (Space-saver), Power steering, Central locking, Immobiliser, Driver's airbags, Passenger airbags. 5 seats, £425"
focus,"GREEN, PART EXCHANGE VEHICLE TO CLEAR. RUNS AND DRIVES OK. NUMBER OF PREVIOUS OWNERS 2., Upgrades - power steering, electric mirrors, Next MOT due 15/12/2015, Good bodywork, Interior - Clean Condition, Tyre condition Excellent, Standard Features - Alloy Wheels, Electric Windows. 5 seats, A GREAT RUN ABOUT FOR THE PRICE. ADVISED TO MAKE A GOOD INSPECTION AS WILL BE SOLD ON A NON RETURNABLE AND NON REFUNDABLE BASIS., ALL VIEWINGS STRICTLY BY APPOINTMENT. PLEASE CALL FOR FURTHER DETAILS., £395"
focus,"YELLOW, private number included,Full black leather trim, alloys, recent service (£357 spent) short test till june,, Air-Conditioning, Electric Windows, Heated Front Screen, In Car Entertainment, Seats Electric. 5 seats, No offers!!, £395"
fiesta,"RED, Next MOT due 30/06/2015, Part service history, Folding rear seats, Pearlescent paint, 14"" Alloy Wheels, Spare wheel (Full), Power steering, Central locking, Driver's airbags. 5 seats, £250"
500,"WHITE, Buy with confidence from a family run garage, established for over 15 years, 12 months MOT, Last serviced at 34,000 miles, Service history, Excellent bodywork, Interior - Excellent Condition, Tyre condition Good, Electric Windows, In Car Entertainment. 4 seats, All our cars are HPi checked, low deposit finance is available and we're open 7 days a week for viewing. We have 2 garages and this car is in MAIDENHEAD, POST CODE SL6 1TH. Please call to check availability before travelling., Experian auto check clear., £4,390"
corsa,"Metallic GREEN, SOME SERVICE HISTORY AND SERVICE BILLS, Next MOT due 27/03/2016, Service history, Good bodywork, Black Cloth interior - Good Condition, In Car Entertainment, 3x3 point rear seat belts, Alarm, CD Player, Immobiliser, Radio, Power steering, Lumbar support, Height adjustable drivers seat, Folding rear seats. 5 seats, Experian auto check clear, £495 p/x to clear"
focus,"Metallic BURGUNDY, 5 seats, PX'S TO CLEAR PLEASE CALL TO GET A PRICE ON ALL OUR VEHICLES Our Cars Are Inside Under Cover With Lighting You Can View This Vehicle Come Rain Or Shine Night Or Day We Have Over 140 Vehicles In Stock From £500 To £8000 *All Major Credit & Debit Cards Accepted Opening Times 9:00am Until 6:00pm Out Of Hours Appointments Can Be Made Just Give Our sales team a Call On : 01268 691111 or 07538 969114 .We Are Located At : HMI House, Unit C, Charfleets Road, Charfleets Industrial Estate, Canvey Island, Essex, SS8 0PQ We Are Only 15/20 Minutes from the Dartford Crossing, Delivery Can Be Arranged At Extra Cost, Buy With Confidence, £490 p/x considered"
polo,"SILVER, GOOD EXAMPLE VERY CLEAN CAR MOT UNTIL JAN 2016, ELECTRIC WINDOWS, CENTRAL LOCKING, ELECTRIC DOOR MIRRORS, POWER STEERING, DRIVERS AIR BAG, RADIO CD PLAYER, ALLOY WHEELS, DEBIT AND CREDIT CARDS ACCEPTED. 5 seats, £650"
500,"BLUE, We are pleased to offer for sale this Fiat 500 1.2 Pop with just 2 lady owners from new with a full Service history, 8 stamps in service book, 2 keys, book pack, CD Player, Electric door mirrors, Remote central locking, Electric windows, Power steering, Child locks & Isofix system, Airbags, Immobiliser, Alarm, 3x3 point rear seat belts, Folding rear seats. 4 seats, The price of this car includes a warranty and New MOT, Extended warranties available, We offer low rate finance packages, WE ARE FINANCE SPECIALISTS AND WE WILL TRY ARE BEST TO GET ANY ONE FINANCE GOOD OR BAD, Part exchange's always welcome, To arrange viewing or a test drive please contact us on Swindon 01793 488813 or 07974 955008, We are close to M4 Junction 15 and 16 and are postcode is SN2 8DA or for more information please visit our website www.gorsehillmotorcompany.co.uk, £4,600"
focus,"GREEN, VEHICLE BEEN IN DAILY USE,EIGHT SERVICE STAMPS, Airbags, Alloy Wheels, Electric Windows, 3x3 point rear seat belts, Electric door mirrors, Electric windows, Folding rear seats, Height adjustable drivers seat, Alloy wheels, rear wash/wipe, adjustable steering wheel/column, metallic paint, Central locking, front and rear head restraints, body coloured bumpers. 5 seats, PART EXCHANGE A PLEASURE,ANY INSPECTION WELCOME,FINANCE AVAILABLE, £490"
500,"Silver, 1 owner, 4 seats, FIAT'S FLAGSHIP 500 POP IN SILVER METALLIC. LOW INSURANCE, LOW ROAD TAX AND EXCELLENT MPG. CALL TJ VICKERS ON 01743 446951 TO ARRANGE A TEST DRIVE. PART EXCHANGE WELCOME. OPEN 7 DAYS A WEEK. SHROPSHIRE'S FIAT MAIN DEALER EST 1962, £4,490"
polo,"BLUE, 5 seats, £350"
500,"Fun,Fab car in lovely condition., , I have had this car 3 years, I bought it as a category C which had slight damage  and was repaired by a very fussy professional. I have loved having this car and am only selling it as I want a new Fiat 500. Mileage is low and it is economical to run and insure. A really lovely car., RED, 3 owners, Next MOT due 21/12/2015, Part service history, Electric windows, Air conditioning, CD player, Child seat points (Isofix system), Alloy wheels, Power steering, Central locking, Alarm, Driver's airbags, Passenger airbags. 4 seats, £3,800"
500,"WHITE, EXCELLENT CONDITION 100 CARS IN STOCK PLEASE CALL FOR ANY INFORMATION 07572413333, Next MOT due 01/06/2016, Excellent bodywork, Red Cloth interior - Excellent Condition, Tyre condition Excellent, Electric Windows, In Car Entertainment, 3x3 point rear seat belts, Air conditioning, Airbags, Alarm, CD Player, Central locking, Child locks & Isofix system, Electric windows, Folding rear seats, Height adjustable drivers seat, Immobiliser, Lumbar support, Parking aid, Power steering, Radio, Remote central locking. 4 seats, cheadle car Sales is a family run business with a reputation built on attention to detail to both their cars and customers. Most vehicles have had one previous owner with main dealer service history. , With no pressuring salesmen, customers are welcome to browse at there own leisure and test drives are welcome on all vehicles.  , Warranty options are available on all vehicles. All cars have a 30 point safety check on site, 12 months MOT available (done onsite).  Any car, any condition taken as part exchange.  Early morning or late evening views are available by appointment only.  , Any queries or questions feel free to call Adam on 0161 428 1511  9am till 5pm  or 07572413333 any time, £4,495"
focus,"SILVER, 5 seats, 02 reg 1.8 tdci ford focus estate, mot december,, no advisorys on mot,, full leather interior,  recent cambelt,tow hitch,,, was running ,, now not! turns over fine,  but wont start ,, can deliver if required,, call only no texts please,, £495"
focus,"Metallic silver, 12 months MOT, Good bodywork, Black Cloth interior - Good Condition, Tyre condition Good, Air-Conditioning, Alloy Wheels, Electric Windows, Heated Front Screen, In Car Entertainment. 5 seats, £499"
fiesta,"RED, 5 seats, We have just received this Ford Fiesta 1.25 here at ABC Trade Cars having been part exchanged against another vehicle. SPECIFICATION - Comes with the following spec Air-Conditioning, Electric Windows, In Car Entertainment. 5 seats. MOT - Comes with a good length of mot that expires August 2015. SERVICE HISTORY - Comes with part service history all stamped in a book. PART EXCHANGE - We welcome any part exchange against this vehicle please call for more details., £395"
500,"YELLOW, GOOD CONDITION, SMART AND RELIABLE, F/S/H, 1 OWNER, TIMING BELT DONE ON 26/4/13!!!, Electric Windows, In Car Entertainment. 4 seats, £4,150"
golf,"BLACK, Next MOT due 18/06/2015, Alarm, Computer, In Car Entertainment. 5 seats, REGISTERED ACCIDENT DAMAGED, NOW REPAIRED., ALL USUAL AUCTION TERMS AND CONDITIONS APPLY., POST CODE M26 2TA, FOR FULL STOCK LIST GO TO www.radcliffecarauctions.co.uk, SORRY WE CANNOT REPLY TO EMAILS., OUT OF HOURS MOBILE 07809387718., £490"
focus,"RED, MOT FULL 12 MONTHS,HPI CLEAR,START AND DRIVES PERFECT,LOVELY CONDITION INSIDE AND OUT,, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, Viewing based on the appointments,uLate viewing can be arranged, for more cars visit our website,To book an appointment or for further info please Ring.adress : 247A St Saviours Road Birmingham B8 1EP ,,,, £389 ono"
focus,"Ford Focus 1.8, 12 months MOT, recently taxed and serviced, good reliable  runner, cheap and economical to run, always starts first time, 4 good tyres, call 07891 235038, BLUE, Electric windows, MP3 player, CD player, Height adjustable passenger seat, Metallic paint, Spare wheel (Space-saver), Steering wheel reach adjustment, Central locking, Alarm, Side airbags. 5 seats, £495"
focus,"GREEN, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, £390"
golf,"BLACK, Air-Conditioning, Climate Control, Alarm, Alloy Wheels, Computer, Electric Windows, In Car Entertainment. 5 seats, £490"
corsa,"SILVER, NON RUNNER NEEDS HEAD GASGET, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, £300"
golf,"I'm selling this car as I need something with lower mileage. , , It is a good car with 6 months MOT on it. Always starts first time and runs well. It has a fair degree of wear and tear...the central locking is not working from the outside so you have to open it through the passenger door, the right wing mirror is cracked (you can still see with it), glove box cover is off and some off the interior trim is loose, there are also some scuffs on the paintwork. , , At its last MOT it had an oil change. It has also recently had new spark plugs and new ignition leads and in the 4 years I've owned it, I have replaced the clutch and brakes., BLACK, Next MOT due 29/11/2015, Electric windows, Height adjustable driver's seat, Folding rear seats, Spare wheel (Full), Power steering, Driver's airbags, Passenger airbags. 5 seats, £395"
500,"Yellow, 4 seats, Here we have a Stunning Fiat 500 1.4 Sport which looks amazing as it is presented in Yellow. The car has 60.000 miles on the clock and comes with a Full Service History with the last one carried out at 57327 on the 10th October 2014. With it being the 1.4 the cambelt and water pump were changed at 50779 miles on the 1st January 2013, this will give the next owner a great peace of mind. This specific Fiat comes with full black leather interior which isnt a standard on the car, by having the leather it makes the driving experience a whole lot more luxurious. If you have any Questions about the vehicle then please dont hesitate on giving us a call as we are more than happy to answer., *BUILD YOUR OWN FINANCE PACKAGE AND APPLY ONLINE DIRECTLY FROM OUR WEB SITE*, £4,500"
fiesta,"Metallic silver, hpi clear 3 previous owners freestyle model 5 door hatchback 2001 model front electric windows mot febraury 2016, Black Cloth interior, Electric Windows, Central locking, Alloy wheels, Airbags, 3x3 point rear seat belts, Radio, Child locks & Isofix system, Alarm, Lumbar support, Immobiliser, Heated seats, Electric windows, Power steering, Air conditioning, Sports seats, mot febraury 2016, spare wheel, valeted inside out, hpi clear, alloy wheel locking nut, alloy wheels, four good tyres, coded bumpers, freestyle model, 5 door hatch back, two car keys, 3 previous owners, cheap insurance, cheap tax, spoiler, smooth drive, low miles, 2001 model, radio cassette player. 5 seats, mot febraury 2016for sale 2001 model ford fiesta freestyle manuel petrol 5 door hatch back spare wheel coded bumpers alloy wheels with four good tyres dark silver colour bargain hpi clear 3 previous owners 1.2 zetec engine taxed long mot for 9 months valeted inside out bargain viewing and test drive welcome, front electric windows radio cassette player cheap to insure and tax no tears on seats drivers air bag low miles rear seat belts and rear window wiper call or txt to view car thanks £349 no offers at all, £349"
polo,"We haven't had this car long. It's a lovely  little runner.  Economic for a 1.4 and it looks lovely inside and out. But it turns out we can't afford to run  two cars .  The car requires a  new  coil pack which we have priced up at roughly £30 hence why  we have reduced the price.  Offers are welcome.  As are questions.  Looking for a quick sale.  Thank you., GREEN, Electric sunroof, Electric windows, Folding rear seats, Metallic paint, Spare wheel (Full), Power steering, Central locking. 4 seats, £650"
focus,"RED, PART EXCHANGE BARGAIN TO CLEAR, DRIVES WELL, ENGINE GOOD, SOLID CAR, BARGAIN PRICE, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, We will find the best finance package available.  Good or Bad Credit all circumstances considered, £200 ono"
polo,"BLACK, **Excellent economy diesel with recent full mot*light panel insurance repair long time ago*Ideal 2nd work car*, 12 months MOT, Clean bodywork, Interior - Clean Condition, Tyre condition Good, 5 seats, **ALWAYS A GREAT SELECTION OF BUDGET MOTORS IN STOCK WITH PRICES STARTING AT JUST £295....AND YOU GET TO DRIVE AWAY TOADY !! **, **TEST DRIVES AND DEMO'S INVITED AND PART EXCHANGE ACCEPTED**, **PLEASE CALL:::07989 550860**, *VIEW ALL OUR CARS CLICK ON ""VISIT WEBSITE"" GREEN BUTTON**WE ARE 1M FROM McDONALDS THINFORD DL178RS, Experian auto check clear, £695 p/x welcome"
golf,"SILVER, £390"
corsa,"Metallic Silver, corsa 1.2l will sell as spare or repair in second gear there is no much pick up.just put new catalytic convert,Micanic can't find any problem in the car, possible one, Next MOT due 07/05/2015, Full service history, Excellent bodywork, Grey Cloth interior - Excellent Condition, Tyre condition Excellent, Sunroof, CD Player, Central locking. 5 seats, Could be a just one sensor.She has full servic history, start and drives ok other then in secend gear,mot till may this year,, £259"
golf,"RED, JUST TAKEN IN PART EX MOT EXPIRED, RUNS WELL BUT FAULTS NOTICED ARE - NOISY STARTER MOTOR, RATTLE ON ENGINE - LIKE A PULLY, WOBBLE ON BRAKES, Alarm, Computer, In Car Entertainment. 5 seats, OVER 50 CARS IN STOCK, PLEASE RING TO ARRANGE A VIEWING, FINANCE ARRANGED, PART EX WELCOME, £350"
focus,"SILVER, 5 door hatchback, Next MOT due 14/04/2016, Alloy Wheels, Central locking, Electric windows, Folding rear seats. 5 seats, colour coded bumpers very clean car [ phone mobile 07503965545, £495"
polo,"Green, VW POLO 5 DOOR Very Low Mileage, Next MOT due 27/08/2015, Child locks & Isofix system, Airbags, Alloy wheels, CD Player, Central locking, Electric Windows, Electric door mirrors, Folding rear seats, In Car Entertainment, Power steering, Radio. This car is in beautiful condition in and out, Drive's Superb, 5 DOOR, Alloy Wheels, Part Service History, Last MOT NO ADVISORY'S, Excellent on Petrol,Very Cheap to Insure.AND ONLY 67000 miles from new.  BARGAIN ., PHONE: 07881226449  Condition is superb, £650"
polo,"Metallic Red, Volkswagen polo 1.2 selling as spare or repair she starts and drives ok but engine shaking as I m closing down so don't want to fix it,recent all new tyres new coils,, Upgrades - Metallic Paint, Next MOT due 30/10/2015, Full service history, Excellent bodywork, Grey Cloth interior - Good Condition, Tyre condition Excellent, Standard Features - Alloy Wheels, In Car Entertainment. 5 seats, Plugs almost more then six hundrud spend on the car proof of recite, other then shaking nothing wrong mot till 30 October 2015,good for some one to fix and drive, no offer as it worth of 1600 pound so 1000 pound cheap as spare or repair please call on 07790995582 or 07477385046, £600"
polo,"BLUE, Trade in to clear, Power steering, Radio. 5 seats, 4 new tyres battery , Short mot till 11/06/2015, Hence price , Starts drives , 5 door , Cheap runabout , Must go, £295"
500,"WHITE, HPI Clear,QFull MOT history, Next MOT due 14/03/2016, Service history, Electric Front Windows, Radio/CD/MP3 Player. 4 seats, Perfect condition inside and out, Gearbox & Engine in mint condition, Any Part Exchange welcome, Any Inspection welcome, 3 to 12 Months Warranty and 5 Days drive away insurance Available, Click on the dealer website link below to view an even greater selection of vehicles available, £4,495 p/x welcome"
500,"Metallic BLACK, Upgrades - Metallic Paint, 3 months warranty, Next MOT due 29/04/2016, Standard Features - Electric Windows, In Car Entertainment. 4 seats, Visit exclusivecarsales.co.uk, £4,295"
astra,"Metallic SILVER, hpi clear,mot till july,good car for just run round bargain p/x to clear, In Car Entertainment, 3x3 point rear seat belts, CD Player, Power steering, Radio, Electric windows, Electric door mirrors. 5 seats, SK MOTORS 16 BOSTON ROAD HANWELL LONDON W7 3SH,,,,OPEN 7 DAYS TILL LATE EVENING, £390"
astra,"Mot till next year nothing wrong with it apart from exhaust blowing Orginal stereo good tyres couple scratches, RED, 5 seats, £250"
focus,"Recently had new brakes, works perfect. Needs two new back tyres. Have receipts for all work that has been done on the car ., RED, Manual sunroof, Electric windows, Air conditioning, Folding rear seats, Driver's airbags, Passenger airbags. 5 seats, £450"
astra,"Vauxhall Astra 1.6 Club, T reg, mot july, 101,000 miles 2 owners from new, finished in green with blue and grey interior, if you just want something that drives really well cheap any trial more than welcome, £250"
focus,"Cheap car for sale in perfect working order  with a years mot, GREEN, 5 seats, £400"
polo,"WHITE, with contrasting grey cloth interior,, 3x3 point rear seat belts, CD Player, Alarm, Power steering, Central locking, Airbags, Electric windows. 5 seats, HPI clear, credit/debit cards accepted, part exchange welcome, finance packages to suit all budgets or credit history, after hours viewing available by appointment, ask about are extended warranties, open 7 days a week. please call 01329 282002, or visit our website www.farehamcarcentre.com, we constantly check our prices to ensure we offer the best deals,, Experian auto check clear, £595"
focus,"Ford Focus 1.4l, 5 door, 113,000 miles. Reduced for quick sale., GREEN, 3 owners, Next MOT due 03/01/2016, Part service history, Electric windows, Folding rear seats, Spare wheel (Space-saver), Power steering, Central locking, Driver's airbags. 5 seats, £500"
fiesta,"BLUE, Just In As a Part Exchange, Cheap Little AUTOMACTIC, Drives Superb, Next MOT due 22/11/2015, Sunroof Manual, In Car Entertainment. 5 seats, A Very Clean Fiesta Auto, Has Been Well Serviced & Looked After, Power Steering, Drives Superb. Call For Full Details, £390 p/x to clear"
astra,"Metallic SILVER, Black Cloth interior, Air-Conditioning, Electric Windows. 5 seats, £295"
polo,"BLACK, !!!! THIS VEHICLE HAS NOW BEEN SOLD !!!!, Power steering, Electric door mirrors, Radio, Folding rear seats, Immobiliser, Alarm. 5 seats, £295"
corsa,"12 MONTHS MOT, BLUE, Electric windows, Height adjustable passenger seat, Metallic paint, Spare wheel (Space-saver), Power steering, Steering wheel rake adjustment, Driver's airbags, Passenger airbags. 5 seats, £499"
fiesta,"This is a Fiesta Fun and like it's name states it is fun to drive... Check out the snazzy taillights... It also includes a top notch Kenwood Stereo model KDC-4057U with usb adaptor for playing music from iPhone/iPod... Low price for quick sale as I've changed my car and need the parking space... Some minor scratches to wheel arches (see photos), headlight glass damaged (see photo) and dent in sill under passenger door not easily seen in last photo... Car drives very well and is quite zippy... Ideal first car... I can vouch for that because it was my first car... MOT'd until October 2015..., SILVER, 5+ owners, Next MOT due 21/10/2015, Part service history, 5 seats, £350"
fiesta,"SILVER, FIESTA NOW SOLD BUT WE HAVE A CITROEN SAXO 1.1 DESIRE. X REG,, MOT TO FEBRUARY 2016, POWER STEERING, CENTRAL LOCKING, SUNROOF, RADIO/CD, ELECTRIC WINDOWS, £350, CALL TO ARRANGE A VIEWING AND TEST DRIVE. THANK YOU., ALL STOCK MAIN DEALER PART EXCHANGES. LOCATED 4 MILES OUT OF WORCESTER...LATE OPENING 7 DAYS A WEEK, £350"
500,"WHITE, One Lady Owner From New, Full Service History (5 Stamps), Glass Sunroof, Bluetooth, 5 Speed Gearbox, Stereo/CD Player, Power Assisted Steering, Long MOT, 2 Keys, Air-Conditioning, Alloy Wheels, Electric Windows, In Car Entertainment, Telephone Equipment, Central locking. 4 seats, Heated Front/Back Screen, 4 Headrests, Finished In White, Part Exchange Possible, Warranty Available, EXCELLENT FUEL CONSUMPTION, £4,495"
focus,"Only owned for 1 month, need to sell after losing job :( Only done 100 miles myself. Just want to recoup as much of what I paid as I can. MOT nearly due, but last year's cert has only one advisory ""underside body fully undersealed"", not the foggiest what that means., SILVER, 4 owners, Next MOT due 01/06/2015, No service history, Electric windows, Air conditioning, CD player, 15"" Alloy Wheels, Spare wheel (Full), Power steering, Central locking, Driver's airbags, Passenger airbags. 5 seats, £300"
fiesta,"RED, Sold as Spares, Part Exchange to Clear, Trade Sale, Next MOT due 22/09/2015, Service history, Good bodywork, Interior - Good Condition, 14"" 7 spoke alloy wheels, PAS, Central locking, Stereo radio/cassette model 3000NT/2 speakers, Immobiliser-Passive Anti-Theft System (PATS), Driver's seat manual height adjust, Smokers Pack - Fiesta. ** SECURE THIS CAR FOR JUST £100 TELEPHONE HOLDING DEPOSIT (subject to terms) ** VISIT WWW.SOUTHBIRMINGHAMMOTORS.CO.UK FOR A WIDER RANGE OF VEHICLES AT COMPETITIVE PRICES, Experian auto check clear, £295"
